 1
"34-AB-45/2", 3, 87.01,"CAT FOOD"
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 3,"JERRY MOUSE", 98.76, 54.32, 10.98, 23.45, 476.32, 642.96, 83.82
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
 0,"9999", 0, 0, 0, 0, 0, 0, 0
